"path","sha256","provenance_status","evidence","upstream_sha256","observed_changes"
"public/tauri.svg","3f32698a9cb64f4d06d4df89ecb903418347589a17d297208a7f68741a8b5672","PENDIENTE identificacion individual; no atribuido automaticamente a Google ni al usuario","Declaracion humana confirma mezcla de iconos Google, modificaciones y originales; sin cotejo concluyente para este archivo","",""
"public/vite.svg","4a748afd443918bb16591c834c401dae33e87861ab5dbad0811c3a3b4a9214fb","PENDIENTE identificacion individual; no atribuido automaticamente a Google ni al usuario","Declaracion humana confirma mezcla de iconos Google, modificaciones y originales; sin cotejo concluyente para este archivo","",""
"src-tauri/icons/128x128.png","19b4fec485db7df51a691fcce72a3dd6f983e754fc4262da7154e4a4c688f69e","PENDIENTE identificacion individual; no atribuido automaticamente a Google ni al usuario","Declaracion humana confirma mezcla de iconos Google, modificaciones y originales; sin cotejo concluyente para este archivo","",""
"src-tauri/icons/128x128@2x.png","6c7660390d65217fe8de0892862254f47aee77e0af7096c75b8bfe168c5403f7","PENDIENTE identificacion individual; no atribuido automaticamente a Google ni al usuario","Declaracion humana confirma mezcla de iconos Google, modificaciones y originales; sin cotejo concluyente para este archivo","",""
"src-tauri/icons/32x32.png","1c6782dc65c8111c12cbc1882a0fea5e71ab8e51b18da2ce9580f5c88860ed02","PENDIENTE identificacion individual; no atribuido automaticamente a Google ni al usuario","Declaracion humana confirma mezcla de iconos Google, modificaciones y originales; sin cotejo concluyente para este archivo","",""
"src-tauri/icons/HISFuture.ico","84c627ffc1a2dade67f68bd7ef33dfe23851c3449eba5d2d515585333ce99b2c","Creacion propia confirmada por declaracion humana de Matias Escobedo para el conjunto HISFuture","Declaracion humana V0.1 con exclusion de recursos terceros; no se presume licencia para material incorporado","",""
"src-tauri/icons/HISProject.ico","d2a7aa47ca8bfbd2b8db9f947f496191aeeac6641df86692bbd96888acca7528","Creacion propia declarada por el usuario en Legal V0.1; identidad confirmada: Matias Escobedo, persona natural","Declaracion humana; ambas copias tienen SHA-256 d2a7aa47ca8bfbd2b8db9f947f496191aeeac6641df86692bbd96888acca7528","",""
"src-tauri/icons/Square107x107Logo.png","54f7a0f58c96a4b023c1edc4b53fc443e27dace50e345f6936fa29bc20f785ca","PENDIENTE identificacion individual; no atribuido automaticamente a Google ni al usuario","Declaracion humana confirma mezcla de iconos Google, modificaciones y originales; sin cotejo concluyente para este archivo","",""
"src-tauri/icons/Square142x142Logo.png","fec1e2080ca73cd4c4a123b23b1cd364059a8a8efeba3076e21dfefed390693b","PENDIENTE identificacion individual; no atribuido automaticamente a Google ni al usuario","Declaracion humana confirma mezcla de iconos Google, modificaciones y originales; sin cotejo concluyente para este archivo","",""
"src-tauri/icons/Square150x150Logo.png","65fb570cb0e61ffce02ad67784cb200a0bf058400300980a46fa0d0c8f43a77a","PENDIENTE identificacion individual; no atribuido automaticamente a Google ni al usuario","Declaracion humana confirma mezcla de iconos Google, modificaciones y originales; sin cotejo concluyente para este archivo","",""
"src-tauri/icons/Square284x284Logo.png","ea0b7c5d4b1d1ab9c91d2f7c9b069c8dfbf4557b0649a5777d47332cde610262","PENDIENTE identificacion individual; no atribuido automaticamente a Google ni al usuario","Declaracion humana confirma mezcla de iconos Google, modificaciones y originales; sin cotejo concluyente para este archivo","",""
"src-tauri/icons/Square30x30Logo.png","cc72279c41b4ed343e8db7e7541ceef7b6b23edaa83d4e7338421dfcb8d63c33","PENDIENTE identificacion individual; no atribuido automaticamente a Google ni al usuario","Declaracion humana confirma mezcla de iconos Google, modificaciones y originales; sin cotejo concluyente para este archivo","",""
"src-tauri/icons/Square310x310Logo.png","9733a89c539115de3c49bd06720bfc99639d9a918f5df48a810e267cf3554119","PENDIENTE identificacion individual; no atribuido automaticamente a Google ni al usuario","Declaracion humana confirma mezcla de iconos Google, modificaciones y originales; sin cotejo concluyente para este archivo","",""
